SVM Classifier,,Linear Kernel,,,,,,
,,,,,,,,
All 8 embedding features,,,,,,,,
Model,Features,p0,p1,r0,r1,av p,av r,av f
Embeddings,Weighted,0.98175673,0.02068079,0.47597997,0.55577908,0.50121876,0.515879525,0.50844348
Embeddings,Unweighted,0.98171885,0.02077256,0.50254711,0.52999268,0.501245705,0.516269895,0.50864688
Embeddings,All 8,0.98251603,0.02155926,0.50092308,0.55230432,0.502037645,0.5266137,0.514032093
PWNW,4,0.98450632,0.02881154,0.70038416,0.44641551,0.50665893,0.573399835,0.537967296
Hacky,15,0.98482383,0.02934569,0.69636413,0.46104609,0.50708476,0.57870511,0.540532841
Hacky + Joshi,23,0.98497807,0.02895939,0.68022576,0.47896854,0.50696873,0.57959715,0.540855619
Hacky + PWNW,19,0.98671598,0.03159218,0.66346837,0.5513899,0.50915408,0.607429135,0.553966813
Bouzizi + Joshi,27,0.986367,0.03210311,0.68524716,0.52432334,0.509235055,0.60478525,0.552912454
Senti LSTM,20,0.99028329,0.03423129,0.60601912,0.70135333,0.51225729,0.653686225,0.574394093
POS LSTM,20,0.99171979,0.04131564,0.66726627,0.7201902,0.516517715,0.693728235,0.592148931
Senti + POS LSTM,40,0.99222476,0.04321786,0.67657715,0.73372348,0.51772131,0.705150315,0.597072231
ALL FEATURES,67,0.9932006,0.0418408,0.64518889,0.77816386,0.5175207,0.711676375,0.599264777
Senti + POS + Hacky,55,0.99274344,0.04367645,0.6715157,0.75347476,0.518209945,0.71249523,0.600017163
All Features - PWNW,63,0.99260347,0.04424577,0.67923896,0.74579371,0.51842462,0.712516335,0.600168528
All Features - Joshi,59,0.99240102,0.0467362,0.70380701,0.72933431,0.51956861,0.71657066,0.602371643